training_id,module_name,duration_days,materials_required,schedule_date,village_id,status
TR001,Basic Pedagogy,3,Projector,2024-03-15,V001,Completed
TR002,Digital Tools,5,Laptops,2024-04-01,V002,Planned
TR003,Gender Sensitivity,2,Handbook,2024-03-20,V003,Ongoing
TR004,Agriculture Basics,4,Farming Kits,2024-04-10,V004,Planned
TR005,Child Psychology,3,Reference Books,2024-03-25,V005,Planned
TR006,Inclusive Education,2,Special Needs Materials,2024-04-05,V006,Planned
TR007,Environmental Studies,4,Field Guide,2024-03-18,V007,Completed
TR008,Mathematics Teaching,3,Math Kits,2024-04-15,V008,Planned
TR009,Language Learning,5,Language Books,2024-03-22,V009,Ongoing
TR010,Health Education,2,Health Charts,2024-04-08,V010,Planned
TR011,Community Engagement,3,Community Handbook,2024-03-28,V011,Planned
TR012,Science Experiments,4,Lab Equipment,2024-04-12,V012,Planned
TR013,Art Integration,2,Art Supplies,2024-03-16,V013,Completed
TR014,Sports Coaching,3,Sports Equipment,2024-04-20,V014,Planned
TR015,Cultural Studies,2,Cultural Materials,2024-03-30,V015,Planned
TR016,Digital Literacy,5,Computers,2024-04-02,V016,Planned
TR017,Career Guidance,1,Career Books,2024-03-19,V017,Completed
TR018,Classroom Management,3,Management Guide,2024-04-25,V018,Planned
TR019,Life Skills,2,Activity Kits,2024-03-24,V019,Ongoing
TR020,Financial Literacy,1,Financial Materials,2024-04-05,V020,Planned
TR021,Child Rights,2,Rights Handbook,2024-03-26,V021,Planned
TR022,Leadership Development,3,Leadership Modules,2024-04-18,V022,Planned
TR023,Nutrition Education,2,Nutrition Charts,2024-03-17,V023,Completed
TR024,First Aid,1,First Aid Kits,2024-04-22,V024,Planned
TR025,Disaster Management,2,Safety Materials,2024-03-29,V025,Planned
TR026,Peer Learning,3,Group Activities,2024-04-03,V026,Planned
TR027,Library Management,2,Library Guide,2024-03-21,V027,Ongoing
TR028,Technology Integration,4,Tech Devices,2024-04-28,V028,Planned
TR029,Conflict Resolution,1,Resolution Guide,2024-03-15,V029,Completed
TR030,Parent Engagement,2,Parenting Materials,2024-04-06,V030,Planned
TR031,Assessment Techniques,3,Assessment Tools,2024-03-27,V031,Planned
TR032,Social Studies,4,Social Science Kits,2024-04-14,V032,Planned
TR033,Local Knowledge,2,Local Resources,2024-03-23,V033,Ongoing
TR034,Adolescent Education,3,Adolescent Books,2024-04-24,V034,Planned
TR035,Teacher Wellbeing,1,Wellbeing Materials,2024-03-31,V035,Planned
TR036,Entrepreneurship,4,Entrepreneur Kits,2024-04-04,V036,Planned
TR037,Vocational Skills,5,Vocational Tools,2024-03-20,V037,Completed
TR038,Eco-friendly Practices,2,Eco Kits,2024-04-26,V038,Planned
TR039,Peace Education,1,Peace Materials,2024-03-18,V039,Ongoing
TR040,IT Skills,5,IT Equipment,2024-04-07,V040,Planned
TR041,Special Education,3,Special Ed Materials,2024-03-25,V041,Planned
TR042,Music Education,2,Musical Instruments,2024-04-19,V042,Planned
TR043,Physical Education,3,PE Equipment,2024-03-22,V043,Completed
TR044,Rural Development,4,Development Guide,2024-04-29,V044,Planned
TR045,Sustainable Farming,3,Farming Guide,2024-03-19,V045,Ongoing
TR046,Adult Literacy,5,Literacy Materials,2024-04-09,V046,Planned
TR047,Water Conservation,2,Water Conservation Kits,2024-03-28,V047,Planned
TR048,Sanitation,1,Hygiene Kits,2024-04-16,V048,Planned
TR049,Rural Technology,4,Rural Tech Equipment,2024-03-24,V049,Completed
TR050,Child Development,3,Development Charts,2024-04-11,V050,Planned
